financial_year,Region,council,Population,premises_residential,premises_nonresidential,premises_with_garbage_service_residential,premises_with_garbage_service_nonresidential,garbage_service_frequency,garbage_collected_total_tonnes,garbage_collected_total_tonnes_estimated,premises_with_kerbside_recycling_service_residential,premises_with_kerbside_recycling_service_nonresidential,kerbside_recycling_service_frequency,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_recycling_glass_all_recycled_tonnes,kerbside_recycling_metal_recycled_tonnes,kerbside_recycling_paper_all_recycled_tonnes,kerbside_recycling_plastics_all_recycled_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,dropoff_garbage_collected_tonnes,dropoff_recycling_collected_tonnes,premises_with_kerbside_glass_service_residential,premises_with_kerbside_glass_service_nonresidential,kerbside_glass_service_frequency,kerbside_glass_total_collected_tonnes,premises_with_access_to_hardwaste_service_residential,hardwaste_collected_tonnes,hardwaste_disposed_tonnes,totaltonnes
2023-2024,Metropolitan,Glen Eira,156121,67927,3651,57461,2053,Fortnightly,20582.1,,57461,2053,Fortnightly,12149.75,7775.84,,,,,57461,Weekly,Yes,19587.1,18821.24,,,,,,,,4809.41,,52318.95
2023-2024,Great South Coast Barwon,Glenelg,20030,8758,3759,8088,739,Weekly,3534,,8139,17,Fortnightly,1399.54,1145.68,,,,,,,,0,,,353.34,,,,,,,,4933.54
2023-2024,Great South Coast Barwon,Golden Plains,26058,8967,1496,9236,212,Fortnightly,5037.46,,9236,212,Weekly,2552.34,2018.9,,,,,,,,0,,,1.84,,,,,,,,7589.8
2023-2024,Loddon Campaspe Mallee,Greater Bendigo,125225,52963,6847,53496,5222,Fortnightly,20445,,53496,1566,Fortnightly,10473,9053.91,3418,598,2877,,47165,Weekly,Yes,18196.72,18051.15,,137.4,,,,,,,,49114.72
2023-2024,Metropolitan,Greater Dandenong,163533,57009,10639,55924,0,Weekly,28785,,55924,0,Fortnightly,11344,7146.72,1255.78,324.44,4155.31,,47360,Fortnightly,Yes,14916,14808.6,,,,,,,,4072,,55045
2023-2024,Great South Coast Barwon,Greater Geelong,285890,121006,17442,125766,,Weekly,56331,,125766,,Fortnightly,22489,18440.98,,,,,125766,Fortnightly,No,36125,36125,,,,,,,,2618,,114945
2023-2024,Goulburn Ovens Murray,Greater Shepparton,69786,23498,8991,29282,0,Fortnightly,10777,,29282,0,Fortnightly,5744.69,4702.67,,,,,26579,Weekly,Yes,11916.72,8661.07,,,29282,0,Monthly,54.62,,,,28438.41
2023-2024,Wimmera Southern Mallee Central Highlands,Hepburn,16788,7039,3357,7813,260,weekly until the 08/04/2024 changed to fortnightly service,2853.79,,7833,260,Fortnightly,1481.66,1212.9,,,,,5633,Weekly,Yes,417.67,417.67,,107,,,,,,70,,4753.12
2023-2024,Wimmera Southern Mallee Central Highlands,Hindmarsh,5543,2513,2470,2777,33,Weekly,1720,,2535,23,Fortnightly,251,205.47,,,,,,,,0,,,251,2433,25,Every 8 weeks,77.06,,,,1971
2023-2024,Metropolitan,Hobsons Bay,93986,38272,3588,38745,1342,Weekly,17118.5,,38745,1342,Fortnightly,5542.56,3879.79,0,221.7,3103.83,,38745,Fortnightly,Yes,10952.64,10536.44,,,38745,1307,Monthly,1988.13,,1462.95,,33613.7
2023-2024,Wimmera Southern Mallee Central Highlands,Horsham,20376,9124,3108,9808,247,Fortnightly,3793.96,,9377,132,Fortnightly,1239.49,996.55,36.9,55.8,657.8,,7945,Fortnightly,Yes,2075.13,1915.34,,0,7940,2,Monthly,277.12,,,,7108.58
2023-2024,Metropolitan,Hume,265021,89254,10769,87413,3758,Weekly,54231.38,,87413,3758,Fortnightly,18016,12629.22,504,540,7206,,44900,Fortnightly,Yes,13658.26,13275.83,,,,,,,,3821,,85905.64
2023-2024,Goulburn Ovens Murray,Indigo,17684,5527,3431,7650,328,Fortnightly,2237,,7961,328,Fortnightly,1565,1450.76,374.94,57.93,992.21,,5803,Weekly,Yes,2864,2860.85,,6.5,,,,,,,,6666
2023-2024,Metropolitan,Kingston,163677,65778,11473,64305,1000,Weekly,27049,,64305,1000,Fortnightly,13077.28,10461.82,392,327,6382,,51720,Fortnightly,Yes,18962.82,18809.22,,,,,,,,0,,59089.1
2023-2024,Metropolitan,Knox,162013,61216,7100,63096,2766,Fortnightly,16566.22,,63096,2542,Fortnightly,13451.82,10690.16,,,,,62710,Weekly,Yes,31040.5,29898.21,,,,,,,,7544,,61058.54
2023-2024,Gippsland,Latrobe,78408,35561,4000,34287,2084,Weekly,16282.4,,34212,2066,Fortnightly,6655.73,5448.46,1763.5,260.37,2340.3,,32853,Fortnightly,No,12416,12416,,1317.03,,,,,,1521,,35354.13
2023-2024,Loddon Campaspe Mallee,Loddon,7752,2473,4722,3237,347,Weekly,1903.16,,3237,178,Fortnightly,543.1,477.93,,,,,,,,0,,,194,,,,,,156.06,,2446.26
2023-2024,Loddon Campaspe Mallee,Macedon Ranges,53307,20038,2984,21430,1020,Fortnightly,6143,,22297,1020,Fortnightly,2971,2376.8,,,,,22205,Weekly,Yes,10999,10889.01,,355,21835,1020,Monthly,1558,,,,20113
2023-2024,Metropolitan,Manningham,129409,50066,2302,44355,626,Fortnightly,11061.8,,44355,0,Fortnightly,9411.03,8308.06,3003.84,346.74,4281.51,,44355,Weekly,Yes,24696.56,23708.7,,,,,,,,0,,45169.39
